version;numeric;alphanumeric;byte;kanji
1;27;16;11;7
2;48;29;20;12
3;77;47;32;20
4;111;67;46;28
5;144;87;60;37
6;178;108;74;45
7;207;125;86;53
8;259;157;108;66
9;312;189;130;80
10;364;221;151;93
11;427;259;177;109
12;489;296;203;125
13;580;352;241;149
14;621;376;258;159
15;703;426;292;180
16;775;470;322;198
17;876;531;364;224
18;948;574;394;243
19;1063;644;442;272
20;1159;702;482;297
21;1224;742;509;314
22;1358;823;565;348
23;1468;890;611;376
24;1588;963;661;407
25;1718;1041;715;440
26;1804;1094;751;462
27;1933;1172;805;496
28;2085;1263;868;534
29;2181;1322;908;559
30;2358;1429;982;604
31;2473;1499;1030;634
32;2670;1618;1112;684
33;2805;1700;1168;719
34;2949;1787;1228;756
35;3081;1867;1283;790
36;3244;1966;1351;832
37;3417;2071;1423;876
38;3599;2181;1499;923
39;3791;2298;1579;972
40;3993;2420;1663;1024
